day,Class,time,kwh_min,kwh_max,kwh_avg,kwh_sum,count
195,,11,0.017,2.379,0.3379500000000001,13.518000000000004,40
195,,19,0.007,10.448,1.081,43.24,40
195,,26,0.007,9.432,1.3246999999999998,52.98799999999999,40
195,,33,0.023,9.001,1.5754000000000001,63.016000000000005,40
195,,40,0.028,9.011,0.9577499999999999,38.309999999999995,40
195,,48,0.014,2.115,0.44347499999999995,17.738999999999997,40
195,A,11,0.112,0.112,0.112,0.112,1
195,A,19,0.115,0.115,0.115,0.115,1
195,A,26,0.086,0.086,0.086,0.086,1
195,A,33,0.115,0.115,0.115,0.115,1
195,A,40,0.111,0.111,0.111,0.111,1
195,A,48,0.109,0.109,0.109,0.109,1
195,C,11,0.074,0.193,0.12625,0.505,4
195,C,19,0.035,1.64,0.48574999999999996,1.9429999999999998,4
195,C,26,0.043,1.854,0.6527499999999999,2.6109999999999998,4
195,C,33,0.067,0.638,0.30724999999999997,1.2289999999999999,4
195,C,40,0.021,1.194,0.47725,1.909,4
195,C,48,0.128,0.414,0.25875000000000004,1.0350000000000001,4
195,E,11,0.062,0.164,0.12333333333333334,0.37,3
195,E,19,0.069,0.291,0.16733333333333333,0.502,3
195,E,26,0.007,1.448,0.5079999999999999,1.5239999999999998,3
195,E,33,0.0,0.147,0.08,0.24,3
195,E,40,0.045,0.494,0.20633333333333334,0.619,3
195,E,48,0.088,1.462,0.6789999999999999,2.037,3
195,G,11,0.067,0.325,0.1955,1.173,6
195,G,19,0.116,1.005,0.4098333333333333,2.459,6
195,G,26,0.22,1.75,0.8363333333333335,5.018000000000001,6
195,G,33,0.239,1.256,0.5856666666666667,3.5140000000000002,6
195,G,40,0.228,3.709,1.2383333333333333,7.43,6
195,G,48,0.234,1.059,0.503,3.018,6
195,H,11,0.024,0.377,0.167,0.501,3
195,H,19,0.023,2.064,0.8073333333333333,2.422,3
195,H,26,0.11,3.045,1.1736666666666666,3.521,3
195,H,33,0.024,0.436,0.25833333333333336,0.775,3
195,H,40,0.762,0.96,0.8489999999999999,2.5469999999999997,3
195,H,48,0.087,0.419,0.24733333333333332,0.742,3
195,I,11,0.02,0.551,0.16730769230769232,4.3500000000000005,26
195,I,19,0.009,3.398,0.5001153846153846,13.003,26
195,I,26,0.009,1.902,0.5558846153846153,14.453,26
195,I,33,0.008,3.147,0.6667692307692306,17.335999999999995,26
195,I,40,0.008,4.156,0.5982692307692308,15.555,26
195,I,48,0.062,2.023,0.45665384615384635,11.873000000000005,26
195,J,11,0.158,0.158,0.158,0.158,1
195,J,19,0.453,0.453,0.453,0.453,1
195,J,26,1.548,1.548,1.548,1.548,1
195,J,33,1.069,1.069,1.069,1.069,1
195,J,40,0.298,0.298,0.298,0.298,1
195,J,48,0.411,0.411,0.411,0.411,1
195,K,11,0.015,0.253,0.08241666666666667,0.989,12
195,K,19,0.03,0.39,0.16325,1.959,12
195,K,26,0.023,0.413,0.13075,1.569,12
195,K,33,0.017,1.443,0.2755,3.306,12
195,K,40,0.045,0.764,0.21458333333333335,2.575,12
195,K,48,0.032,0.705,0.21866666666666668,2.624,12
195,M,11,0.234,0.387,0.3105,0.621,2
195,M,19,0.192,2.413,1.3025,2.605,2
195,M,26,0.402,1.242,0.8220000000000001,1.6440000000000001,2
195,M,33,1.228,1.526,1.377,2.754,2
195,M,40,0.332,1.128,0.73,1.46,2
195,M,48,0.477,1.058,0.7675000000000001,1.5350000000000001,2
195,O,11,0.305,0.305,0.305,0.305,1
195,O,19,0.4,0.4,0.4,0.4,1
195,O,26,1.374,1.374,1.374,1.374,1
195,O,33,0.35,0.35,0.35,0.35,1
195,O,40,0.398,0.398,0.398,0.398,1
195,O,48,0.862,0.862,0.862,0.862,1
196,,11,0.018,2.126,0.33159999999999995,13.263999999999998,40
196,,19,0.007,8.778,0.99705,39.882,40
196,,26,0.007,9.695,1.1905249999999996,47.62099999999999,40
196,,33,0.004,10.375,1.2167249999999998,48.669,40
196,,40,0.042,9.57,0.9241000000000001,36.964000000000006,40
196,,48,0.017,2.135,0.4181750000000001,16.727000000000004,40
196,A,11,0.025,0.025,0.025,0.025,1
196,A,19,0.029,0.029,0.029,0.029,1
196,A,26,0.025,0.025,0.025,0.025,1
196,A,33,0.115,0.115,0.115,0.115,1
196,A,40,0.112,0.112,0.112,0.112,1
196,A,48,0.109,0.109,0.109,0.109,1
196,C,11,0.021,0.443,0.192,0.768,4
196,C,19,0.061,5.576,1.6575,6.63,4
196,C,26,0.077,4.581,1.43975,5.759,4
196,C,33,0.028,3.478,1.32775,5.311,4
196,C,40,0.065,1.943,0.8935,3.574,4
196,C,48,0.067,1.444,0.4715,1.886,4
196,E,11,0.05,0.162,0.12366666666666666,0.371,3
196,E,19,0.066,0.167,0.11566666666666665,0.347,3
196,E,26,0.0,1.05,0.36533333333333334,1.096,3
196,E,33,0.059,0.12,0.09866666666666667,0.296,3
196,E,40,0.068,2.052,0.7516666666666666,2.255,3
196,E,48,0.069,0.27,0.15366666666666667,0.461,3
196,G,11,0.119,0.464,0.29216666666666663,1.753,6
196,G,19,0.13,2.201,0.87,5.22,6
196,G,26,0.31,2.771,1.1925,7.154999999999999,6
196,G,33,0.048,1.576,0.48033333333333333,2.882,6
196,G,40,0.136,1.649,0.5021666666666668,3.0130000000000003,6
196,G,48,0.229,0.606,0.4136666666666667,2.482,6
196,H,11,0.022,0.412,0.221,0.663,3
196,H,19,0.201,1.027,0.5213333333333333,1.564,3
196,H,26,0.251,0.507,0.35766666666666663,1.073,3
196,H,33,0.043,0.509,0.34900000000000003,1.0470000000000002,3
196,H,40,0.097,1.064,0.5336666666666666,1.601,3
196,H,48,0.081,0.728,0.336,1.008,3
196,I,11,0.029,0.551,0.15557692307692308,4.045,26
196,I,19,0.009,2.108,0.42515384615384616,11.054,26
196,I,26,0.009,1.182,0.3227692307692308,8.392000000000001,26
196,I,33,0.008,1.167,0.2897692307692308,7.534000000000001,26
196,I,40,0.008,1.921,0.6131153846153846,15.940999999999999,26
196,I,48,0.001,1.416,0.44092307692307703,11.464000000000002,26
196,J,11,0.16,0.16,0.16,0.16,1
196,J,19,0.819,0.819,0.819,0.819,1
196,J,26,1.048,1.048,1.048,1.048,1
196,J,33,0.67,0.67,0.67,0.67,1
196,J,40,0.109,0.109,0.109,0.109,1
196,J,48,0.621,0.621,0.621,0.621,1
196,K,11,0.041,0.161,0.09433333333333334,1.1320000000000001,12
196,K,19,0.011,0.434,0.17049999999999998,2.046,12
196,K,26,0.014,1.122,0.2674166666666667,3.209,12
196,K,33,0.034,3.641,0.42366666666666664,5.084,12
196,K,40,0.032,0.384,0.13116666666666668,1.574,12
196,K,48,0.027,0.594,0.1775,2.13,12
196,M,11,0.237,0.451,0.344,0.688,2
196,M,19,0.225,0.359,0.292,0.584,2
196,M,26,0.379,0.523,0.451,0.902,2
196,M,33,0.242,0.546,0.394,0.788,2
196,M,40,0.345,4.791,2.568,5.136,2
196,M,48,0.546,1.45,0.998,1.996,2
196,O,11,0.233,0.233,0.233,0.233,1
196,O,19,0.213,0.213,0.213,0.213,1
196,O,26,2.821,2.821,2.821,2.821,1
196,O,33,0.56,0.56,0.56,0.56,1
196,O,40,0.138,0.138,0.138,0.138,1
196,O,48,0.594,0.594,0.594,0.594,1
197,,11,0.004,2.143,0.3278,13.111999999999998,40
197,,19,0.013,9.386,1.1078499999999996,44.313999999999986,40
197,,26,0.023,9.856,1.1645750000000004,46.58300000000001,40
197,,33,0.029,9.82,1.1753749999999998,47.01499999999999,40
197,,40,0.017,9.229,1.1639,46.556,40
197,,48,0.006,2.41,0.5178750000000002,20.715000000000007,40
197,A,11,0.036,0.036,0.036,0.036,1
197,A,19,0.119,0.119,0.119,0.119,1
197,A,26,0.069,0.069,0.069,0.069,1
197,A,33,0.074,0.074,0.074,0.074,1
197,A,40,0.066,0.066,0.066,0.066,1
197,A,48,0.041,0.041,0.041,0.041,1
197,C,11,0.021,0.158,0.0985,0.394,4
197,C,19,0.066,0.699,0.36374999999999996,1.4549999999999998,4
197,C,26,0.026,1.491,0.61575,2.463,4
197,C,33,0.043,1.252,0.5785,2.314,4
197,C,40,0.067,0.938,0.35574999999999996,1.4229999999999998,4
197,C,48,0.04,0.585,0.21825,0.873,4
197,E,11,0.035,0.129,0.08800000000000001,0.264,3
197,E,19,0.0,0.345,0.15333333333333332,0.45999999999999996,3
197,E,26,0.049,0.725,0.28099999999999997,0.843,3
197,E,33,0.017,0.118,0.06733333333333334,0.202,3
197,E,40,0.022,0.139,0.08433333333333333,0.253,3
197,E,48,0.054,0.187,0.108,0.324,3
197,G,11,0.044,0.314,0.15216666666666667,0.913,6
197,G,19,0.129,0.468,0.2828333333333333,1.6969999999999998,6
197,G,26,0.225,3.746,1.0119999999999998,6.071999999999999,6
197,G,33,0.067,1.97,0.5731666666666667,3.439,6
197,G,40,0.115,1.525,0.7741666666666666,4.645,6
197,G,48,0.222,1.878,0.6226666666666667,3.736,6
197,H,11,0.076,0.421,0.205,0.615,3
197,H,19,0.035,0.415,0.21233333333333335,0.637,3
197,H,26,0.244,0.556,0.39266666666666666,1.178,3
197,H,33,0.379,0.534,0.47900000000000004,1.437,3
197,H,40,0.212,2.765,1.1646666666666667,3.494,3
197,H,48,0.332,0.872,0.5343333333333333,1.603,3
197,I,11,0.019,0.564,0.16076923076923075,4.18,26
197,I,19,0.009,3.226,0.5021923076923076,13.056999999999999,26
197,I,26,0.008,1.741,0.3808461538461537,9.901999999999997,26
197,I,33,0.009,2.89,0.39119230769230773,10.171000000000001,26
197,I,40,0.009,1.685,0.4429615384615385,11.517000000000001,26
197,I,48,0.046,1.621,0.4744999999999999,12.336999999999998,26
197,J,11,0.165,0.165,0.165,0.165,1
197,J,19,0.116,0.116,0.116,0.116,1
197,J,26,0.186,0.186,0.186,0.186,1
197,J,33,0.44,0.44,0.44,0.44,1
197,J,40,0.605,0.605,0.605,0.605,1
197,J,48,0.569,0.569,0.569,0.569,1
197,K,11,0.012,0.241,0.085,1.02,12
197,K,19,0.014,0.928,0.25566666666666665,3.068,12
197,K,26,0.011,0.414,0.12575,1.5090000000000001,12
197,K,33,0.041,1.379,0.27425,3.291,12
197,K,40,0.052,0.812,0.2743333333333334,3.2920000000000003,12
197,K,48,0.031,0.731,0.21191666666666664,2.5429999999999997,12
197,M,11,0.237,0.413,0.32499999999999996,0.6499999999999999,2
197,M,19,0.233,0.791,0.512,1.024,2
197,M,26,0.285,0.322,0.3035,0.607,2
197,M,33,0.344,0.916,0.63,1.26,2
197,M,40,0.296,0.571,0.4335,0.867,2
197,M,48,0.411,1.244,0.8275,1.655,2
197,O,11,0.214,0.214,0.214,0.214,1
197,O,19,0.168,0.168,0.168,0.168,1
197,O,26,0.991,0.991,0.991,0.991,1
197,O,33,0.482,0.482,0.482,0.482,1
197,O,40,0.457,0.457,0.457,0.457,1
197,O,48,0.925,0.925,0.925,0.925,1
198,,11,0.019,2.346,0.346,13.84,40
198,,19,0.041,8.424,1.0771749999999995,43.08699999999998,40
198,,26,0.049,9.732,1.2364750000000002,49.45900000000001,40
198,,33,0.051,9.008,1.1860749999999995,47.442999999999984,40
198,,40,0.023,9.733,1.1403500000000002,45.614000000000004,40
198,,48,0.016,2.265,0.48252500000000004,19.301000000000002,40
198,A,11,0.111,0.111,0.111,0.111,1
198,A,19,0.108,0.108,0.108,0.108,1
198,A,26,0.112,0.112,0.112,0.112,1
198,A,33,0.112,0.112,0.112,0.112,1
198,A,40,0.11,0.11,0.11,0.11,1
198,A,48,0.109,0.109,0.109,0.109,1
198,C,11,0.068,1.443,0.4305,1.722,4
198,C,19,0.021,1.308,0.39575000000000005,1.5830000000000002,4
198,C,26,0.063,1.708,0.75025,3.001,4
198,C,33,0.065,2.273,1.00925,4.037,4
198,C,40,0.052,1.287,0.45175,1.807,4
198,C,48,0.065,0.549,0.362,1.448,4
198,E,11,0.058,0.12,0.08433333333333333,0.253,3
198,E,19,0.002,0.089,0.056333333333333326,0.16899999999999998,3
198,E,26,0.048,0.121,0.08333333333333333,0.25,3
198,E,33,0.017,0.135,0.07333333333333335,0.22000000000000003,3
198,E,40,0.083,0.143,0.10533333333333332,0.31599999999999995,3
198,E,48,0.088,0.511,0.24533333333333332,0.736,3
198,G,11,0.087,0.322,0.204,1.224,6
198,G,19,0.085,0.733,0.3555,2.133,6
198,G,26,0.126,1.216,0.59,3.54,6
198,G,33,0.089,1.135,0.4658333333333333,2.795,6
198,G,40,0.091,2.273,0.777,4.662,6
198,G,48,0.246,0.699,0.4629999999999999,2.7779999999999996,6
198,H,11,0.056,0.571,0.2806666666666667,0.842,3
198,H,19,0.39,1.756,0.8593333333333334,2.5780000000000003,3
198,H,26,0.118,1.295,0.7183333333333333,2.155,3
198,H,33,0.214,0.455,0.3073333333333333,0.9219999999999999,3
198,H,40,0.338,0.699,0.515,1.545,3
198,H,48,0.399,1.185,0.75,2.25,3
198,I,11,0.004,0.546,0.1757692307692308,4.57,26
198,I,19,0.009,3.03,0.5667692307692307,14.735999999999999,26
198,I,26,0.009,1.681,0.4127307692307693,10.731000000000002,26
198,I,33,0.008,2.28,0.3893461538461539,10.123000000000001,26
198,I,40,0.009,2.396,0.5299230769230769,13.778,26
198,I,48,0.012,1.588,0.46876923076923077,12.188,26
198,J,11,0.14,0.14,0.14,0.14,1
198,J,19,0.39,0.39,0.39,0.39,1
198,J,26,0.242,0.242,0.242,0.242,1
198,J,33,0.131,0.131,0.131,0.131,1
198,J,40,1.038,1.038,1.038,1.038,1
198,J,48,0.655,0.655,0.655,0.655,1
198,K,11,0.023,0.244,0.09283333333333336,1.1140000000000003,12
198,K,19,0.025,0.27,0.12791666666666665,1.535,12
198,K,26,0.025,0.542,0.14733333333333334,1.768,12
198,K,33,0.026,0.723,0.2228333333333333,2.6739999999999995,12
198,K,40,0.025,0.61,0.17883333333333332,2.146,12
198,K,48,0.051,0.834,0.22133333333333335,2.656,12
198,M,11,0.243,0.307,0.275,0.55,2
198,M,19,0.244,1.68,0.962,1.924,2
198,M,26,0.174,0.205,0.1895,0.379,2
198,M,33,0.255,1.943,1.099,2.198,2
198,M,40,0.243,0.346,0.2945,0.589,2
198,M,48,0.221,4.287,2.254,4.508,2
198,O,11,0.15,0.15,0.15,0.15,1
198,O,19,1.026,1.026,1.026,1.026,1
198,O,26,0.106,0.106,0.106,0.106,1
198,O,33,1.612,1.612,1.612,1.612,1
198,O,40,0.215,0.215,0.215,0.215,1
198,O,48,0.506,0.506,0.506,0.506,1
199,,11,0.019,2.402,0.34340000000000004,13.736000000000002,40
199,,19,0.017,10.083,0.754675,30.187,40
199,,26,0.007,9.794,0.999,39.96,40
199,,33,0.029,10.125,1.154075,46.163,40
199,,40,0.007,9.216,0.8919250000000002,35.67700000000001,40
199,,48,0.0,2.466,0.481,19.24,40
199,A,11,0.025,0.025,0.025,0.025,1
199,A,19,0.072,0.072,0.072,0.072,1
199,A,26,0.107,0.107,0.107,0.107,1
199,A,33,0.108,0.108,0.108,0.108,1
199,A,40,0.109,0.109,0.109,0.109,1
199,A,48,0.108,0.108,0.108,0.108,1
199,C,11,0.066,0.898,0.29075,1.163,4
199,C,19,0.039,0.445,0.2345,0.938,4
199,C,26,0.111,4.325,1.4342499999999998,5.736999999999999,4
199,C,33,0.067,1.8,0.53125,2.125,4
199,C,40,0.038,2.856,1.0165,4.066,4
199,C,48,0.067,0.678,0.33975,1.359,4
199,E,11,0.066,0.143,0.09899999999999999,0.297,3
199,E,19,0.081,1.15,0.4496666666666666,1.3489999999999998,3
199,E,26,0.031,0.109,0.07533333333333332,0.22599999999999998,3
199,E,33,0.049,0.168,0.09366666666666668,0.281,3
199,E,40,0.047,2.361,1.1743333333333335,3.5230000000000006,3
199,E,48,0.068,0.178,0.13033333333333333,0.391,3
199,G,11,0.125,0.298,0.19933333333333333,1.196,6
199,G,19,0.035,2.767,0.7141666666666667,4.285,6
199,G,26,0.091,5.249,1.6199999999999999,9.719999999999999,6
199,G,33,0.459,2.886,1.2208333333333332,7.324999999999999,6
199,G,40,0.311,2.012,0.9790000000000001,5.8740000000000006,6
199,G,48,0.225,1.207,0.5123333333333334,3.0740000000000003,6
199,H,11,0.104,0.663,0.329,0.987,3
199,H,19,0.117,0.527,0.3646666666666667,1.094,3
199,H,26,0.105,2.608,1.139,3.4170000000000003,3
199,H,33,0.55,1.126,0.7963333333333332,2.389,3
199,H,40,0.198,0.643,0.43966666666666665,1.319,3
199,H,48,0.254,0.401,0.3506666666666667,1.052,3
199,I,11,0.016,0.687,0.18384615384615385,4.78,26
199,I,19,0.009,2.429,0.6073846153846153,15.791999999999998,26
199,I,26,0.008,4.633,0.6289615384615383,16.352999999999998,26
199,I,33,0.008,2.115,0.49319230769230765,12.822999999999999,26
199,I,40,0.008,2.966,0.48196153846153833,12.530999999999997,26
199,I,48,0.012,1.118,0.38838461538461544,10.098,26
199,J,11,0.158,0.158,0.158,0.158,1
199,J,19,0.6,0.6,0.6,0.6,1
199,J,26,2.24,2.24,2.24,2.24,1
199,J,33,0.309,0.309,0.309,0.309,1
199,J,40,0.704,0.704,0.704,0.704,1
199,J,48,0.259,0.259,0.259,0.259,1
199,K,11,0.026,0.2,0.07041666666666667,0.845,12
199,K,19,0.025,0.288,0.134,1.608,12
199,K,26,0.034,0.529,0.19900000000000004,2.3880000000000003,12
199,K,33,0.03,0.418,0.17858333333333332,2.143,12
199,K,40,0.03,1.29,0.25025000000000003,3.003,12
199,K,48,0.031,0.722,0.21083333333333332,2.53,12
199,M,11,0.235,0.525,0.38,0.76,2
199,M,19,0.191,0.333,0.262,0.524,2
199,M,26,0.151,0.277,0.21400000000000002,0.42800000000000005,2
199,M,33,0.228,0.448,0.338,0.676,2
199,M,40,0.154,0.828,0.491,0.982,2
199,M,48,0.319,0.998,0.6585,1.317,2
199,O,11,0.074,0.074,0.074,0.074,1
199,O,19,0.263,0.263,0.263,0.263,1
199,O,26,0.903,0.903,0.903,0.903,1
199,O,33,0.091,0.091,0.091,0.091,1
199,O,40,1.451,1.451,1.451,1.451,1
199,O,48,0.802,0.802,0.802,0.802,1
200,,11,0.0,2.305,0.3309249999999999,13.236999999999997,40
200,,19,0.0,9.613,0.7530750000000002,30.123000000000008,40
200,,26,0.0,9.427,0.9531999999999998,38.12799999999999,40
200,,33,0.015,9.746,0.9382000000000001,37.528000000000006,40
200,,40,0.029,9.467,0.80535,32.214,40
200,,48,0.013,2.272,0.4628000000000001,18.512000000000004,40
200,A,11,0.025,0.025,0.025,0.025,1
200,A,19,0.024,0.024,0.024,0.024,1
200,A,26,0.077,0.077,0.077,0.077,1
200,A,33,0.024,0.024,0.024,0.024,1
200,A,40,0.024,0.024,0.024,0.024,1
200,A,48,0.119,0.119,0.119,0.119,1
200,C,11,0.067,0.258,0.14950000000000002,0.5980000000000001,4
200,C,19,0.076,3.648,1.6645,6.658,4
200,C,26,0.087,3.111,1.5019999999999998,6.007999999999999,4
200,C,33,0.058,0.936,0.48475000000000007,1.9390000000000003,4
200,C,40,0.067,0.758,0.305,1.22,4
200,C,48,0.066,0.704,0.4665,1.866,4
200,E,11,0.016,0.133,0.09133333333333334,0.274,3
200,E,19,0.036,1.232,0.46599999999999997,1.398,3
200,E,26,0.024,2.004,0.9943333333333334,2.983,3
200,E,33,0.008,3.036,1.044,3.132,3
200,E,40,0.0,3.025,1.3283333333333334,3.985,3
200,E,48,0.043,0.267,0.14100000000000001,0.42300000000000004,3
200,G,11,0.06,0.437,0.2225,1.335,6
200,G,19,0.086,0.856,0.4351666666666667,2.611,6
200,G,26,0.288,5.409,1.8918333333333335,11.351,6
200,G,33,0.086,3.9,1.1926666666666665,7.156,6
200,G,40,0.058,0.999,0.4025,2.415,6
200,G,48,0.209,0.513,0.37366666666666665,2.242,6
200,H,11,0.02,0.39,0.16833333333333333,0.505,3
200,H,19,0.055,1.775,0.7803333333333334,2.341,3
200,H,26,0.205,2.298,1.223,3.669,3
200,H,33,0.142,0.713,0.37433333333333335,1.123,3
200,H,40,1.263,1.968,1.5103333333333333,4.531,3
200,H,48,0.132,0.467,0.34900000000000003,1.0470000000000002,3
200,I,11,0.032,0.591,0.1884615384615385,4.900000000000001,26
200,I,19,0.009,2.014,0.4044615384615385,10.516,26
200,I,26,0.0,4.296,0.6645769230769231,17.279,26
200,I,33,0.009,1.523,0.39380769230769225,10.238999999999999,26
200,I,40,0.004,1.022,0.2958461538461539,7.692000000000002,26
200,I,48,0.022,1.937,0.40519230769230774,10.535000000000002,26
200,J,11,0.158,0.158,0.158,0.158,1
200,J,19,0.286,0.286,0.286,0.286,1
200,J,26,1.853,1.853,1.853,1.853,1
200,J,33,0.739,0.739,0.739,0.739,1
200,J,40,0.525,0.525,0.525,0.525,1
200,J,48,0.586,0.586,0.586,0.586,1
200,K,11,0.023,0.15,0.08833333333333333,1.06,12
200,K,19,0.025,0.72,0.19125,2.295,12
200,K,26,0.029,0.701,0.2081666666666667,2.498,12
200,K,33,0.028,1.35,0.23425000000000004,2.8110000000000004,12
200,K,40,0.037,1.059,0.2524166666666667,3.029,12
200,K,48,0.048,0.669,0.21491666666666667,2.579,12
200,M,11,0.173,0.556,0.36450000000000005,0.7290000000000001,2
200,M,19,0.168,0.424,0.296,0.592,2
200,M,26,0.251,0.577,0.414,0.828,2
200,M,33,0.24,2.497,1.3685,2.737,2
200,M,40,0.312,1.155,0.7335,1.467,2
200,M,48,0.421,1.846,1.1335,2.267,2
200,O,11,0.222,0.222,0.222,0.222,1
200,O,19,0.674,0.674,0.674,0.674,1
200,O,26,0.892,0.892,0.892,0.892,1
200,O,33,0.982,0.982,0.982,0.982,1
200,O,40,0.8,0.8,0.8,0.8,1
200,O,48,0.623,0.623,0.623,0.623,1
201,,11,0.004,2.502,0.3566500000000001,14.266000000000004,40
201,,19,0.027,9.748,1.1911749999999999,47.647,40
201,,26,0.007,10.961,1.1666999999999998,46.66799999999999,40
201,,33,0.007,11.008,1.269225,50.769,40
201,,40,0.027,8.633,0.9107499999999998,36.42999999999999,40
201,,48,0.019,2.723,0.47787500000000005,19.115000000000002,40
201,A,11,0.111,0.111,0.111,0.111,1
201,A,19,0.11,0.11,0.11,0.11,1
201,A,26,0.116,0.116,0.116,0.116,1
201,A,33,0.115,0.115,0.115,0.115,1
201,A,40,0.101,0.101,0.101,0.101,1
201,A,48,0.024,0.024,0.024,0.024,1
201,C,11,0.046,0.487,0.17725000000000002,0.7090000000000001,4
201,C,19,0.065,0.562,0.22250000000000003,0.8900000000000001,4
201,C,26,0.022,1.468,0.71525,2.861,4
201,C,33,0.065,2.011,0.68025,2.721,4
201,C,40,0.027,0.933,0.29575,1.183,4
201,C,48,0.066,0.529,0.29075,1.163,4
201,E,11,0.015,0.209,0.12766666666666668,0.383,3
201,E,19,0.057,1.181,0.6943333333333334,2.083,3
201,E,26,0.053,2.247,0.9276666666666666,2.783,3
201,E,33,0.002,2.11,0.7633333333333333,2.29,3
201,E,40,0.049,1.747,0.7433333333333333,2.23,3
201,E,48,0.266,0.331,0.30133333333333334,0.904,3
201,G,11,0.061,0.38,0.23766666666666666,1.426,6
201,G,19,0.062,3.246,0.7773333333333333,4.664,6
201,G,26,0.084,1.458,0.71,4.26,6
201,G,33,0.132,0.708,0.4618333333333334,2.7710000000000004,6
201,G,40,0.159,1.038,0.4809999999999999,2.8859999999999997,6
201,G,48,0.239,2.668,0.7688333333333333,4.6129999999999995,6
201,H,11,0.094,0.57,0.25266666666666665,0.7579999999999999,3
201,H,19,0.611,2.496,1.261,3.783,3
201,H,26,0.376,1.172,0.68,2.04,3
201,H,33,0.033,0.395,0.234,0.7020000000000001,3
201,H,40,0.046,1.326,0.6110000000000001,1.8330000000000002,3
201,H,48,0.071,0.54,0.27266666666666667,0.818,3
201,I,11,0.024,0.705,0.18384615384615383,4.779999999999999,26
201,I,19,0.009,1.675,0.45307692307692304,11.78,26
201,I,26,0.009,2.954,0.6533461538461538,16.987,26
201,I,33,0.009,2.34,0.4574615384615385,11.894,26
201,I,40,0.008,1.727,0.5303076923076923,13.787999999999998,26
201,I,48,0.0,2.977,0.5461538461538462,14.200000000000003,26
201,J,11,0.171,0.171,0.171,0.171,1
201,J,19,0.51,0.51,0.51,0.51,1
201,J,26,0.135,0.135,0.135,0.135,1
201,J,33,0.127,0.127,0.127,0.127,1
201,J,40,0.297,0.297,0.297,0.297,1
201,J,48,0.436,0.436,0.436,0.436,1
201,K,11,0.015,0.255,0.08516666666666667,1.022,12
201,K,19,0.038,0.347,0.11683333333333334,1.4020000000000001,12
201,K,26,0.028,2.662,0.3405833333333333,4.087,12
201,K,33,0.023,1.2,0.266,3.192,12
201,K,40,0.058,1.282,0.2813333333333334,3.3760000000000003,12
201,K,48,0.016,0.828,0.18366666666666664,2.2039999999999997,12
201,M,11,0.17,0.463,0.3165,0.633,2
201,M,19,0.223,1.0,0.6115,1.223,2
201,M,26,0.238,3.695,1.9665,3.933,2
201,M,33,0.181,0.212,0.1965,0.393,2
201,M,40,0.151,4.224,2.1875,4.375,2
201,M,48,0.234,1.332,0.783,1.566,2
201,O,11,0.26,0.26,0.26,0.26,1
201,O,19,0.733,0.733,0.733,0.733,1
201,O,26,0.318,0.318,0.318,0.318,1
201,O,33,2.724,2.724,2.724,2.724,1
201,O,40,0.639,0.639,0.639,0.639,1
201,O,48,0.619,0.619,0.619,0.619,1
202,,11,0.02,2.759,0.34165,13.666,40
202,,19,0.008,8.788,1.2297249999999997,49.18899999999999,40
202,,26,0.029,11.412,1.5895249999999999,63.580999999999996,40
202,,33,0.008,12.033,1.60675,64.27,40
202,,40,0.027,9.701,1.1307500000000004,45.23000000000001,40
202,,48,0.01,2.455,0.4414249999999999,17.656999999999996,40
202,A,11,0.113,0.113,0.113,0.113,1
202,A,19,0.112,0.112,0.112,0.112,1
202,A,26,0.114,0.114,0.114,0.114,1
202,A,33,0.114,0.114,0.114,0.114,1
202,A,40,0.112,0.112,0.112,0.112,1
202,A,48,0.11,0.11,0.11,0.11,1
202,C,11,0.028,0.255,0.126,0.504,4
202,C,19,0.035,0.264,0.13924999999999998,0.5569999999999999,4
202,C,26,0.086,2.019,0.769,3.076,4
202,C,33,0.018,3.695,1.071,4.284,4
202,C,40,0.065,2.187,0.8855,3.542,4
202,C,48,0.018,1.728,0.55625,2.225,4
202,E,11,0.069,0.122,0.09366666666666668,0.281,3
202,E,19,0.041,0.964,0.6,1.7999999999999998,3
202,E,26,0.053,0.536,0.27466666666666667,0.8240000000000001,3
202,E,33,0.247,1.348,0.673,2.019,3
202,E,40,0.096,0.597,0.3253333333333333,0.9759999999999999,3
202,E,48,0.321,0.891,0.5686666666666667,1.706,3
202,G,11,0.071,0.359,0.20866666666666667,1.252,6
202,G,19,0.092,0.317,0.225,1.35,6
202,G,26,0.249,2.201,0.8453333333333334,5.072,6
202,G,33,0.086,2.835,1.0290000000000001,6.174,6
202,G,40,0.159,0.918,0.5058333333333332,3.0349999999999997,6
202,G,48,0.237,0.553,0.3605,2.163,6
202,H,11,0.055,0.719,0.33066666666666666,0.992,3
202,H,19,0.328,1.849,0.8403333333333333,2.521,3
202,H,26,0.113,4.24,1.555,4.665,3
202,H,33,0.052,0.311,0.20333333333333334,0.61,3
202,H,40,0.268,0.974,0.5896666666666667,1.7690000000000001,3
202,H,48,0.019,0.808,0.343,1.0290000000000001,3
202,I,11,0.004,0.619,0.18823076923076923,4.894,26
202,I,19,0.009,2.236,0.40973076923076923,10.653,26
202,I,26,0.009,1.802,0.4540769230769231,11.806000000000001,26
202,I,33,0.008,2.302,0.3737692307692307,9.717999999999998,26
202,I,40,0.0,2.728,0.47473076923076923,12.343,26
202,I,48,0.024,3.215,0.5090769230769232,13.236000000000002,26
202,J,11,0.097,0.097,0.097,0.097,1
