"meterID","mean","max","ToUmax","TEC","MDM","LF","Var","SD","IQR","Range","MORNMAX","MORNPEAK","MORNRANGE","WDay.Area","WDay.MidPoint","WDay.Centroid","WDay.AM.Slope","WEnd.Area","WEnd.MidPoint","WEnd.Centroid","WEnd.AM.Slope","Class"
"2345","-0.609008855574996","0.128747034720724","0.531914893617021","-0.609008855574995","-0.209625315024425","-0.734253010742983","-0.788366805834928","-0.365206495871417","-0.630443548387097","0.126590467974984","-0.67677695775277","-0.633351775719684","-0.420344304947347","-0.585647246897145","-0.585647246897144","0.515151515151515","-0.166743832481226","-0.647539845718913","-0.647539845718911","0.483870967741935","-0.682483807378204","C"
"2346","-0.483100216908882","-0.295521529724678","0.531914893617021","-0.483100216908882","-0.316483192725275","-0.503569864804954","-0.794506248903603","-0.374819566537192","-0.459677419354839","-0.29825318093595","-0.379150758165815","-0.301332397107941","-0.32503838501528","-0.503831237406924","-0.503831237406925","0.515151515151515","-0.273994463763262","-0.438635723229691","-0.438635723229693","0.225806451612903","-0.548989450425666","I"
"2347","-0.676836837732772","-0.232262238516282","0.74468085106383","-0.676836837732771","-0.446412205230699","-0.651428032064529","-0.884039049230677","-0.536075121229456","-0.633064516129032","-0.232262238516282","-0.798182437580485","-0.736642722911243","-0.504487714326621","-0.684306971319476","-0.684306971319477","0.636363636363636","-0.191899888027478","-0.649661226749907","-0.649661226749908","0.67741935483871","-0.585934622966446","C"
"2348","-0.615707325081026","-0.070807274818489","-0.191489361702128","-0.615707325081025","-0.236569508422549","-0.726190429380949","-0.698632695323038","-0.238006961537639","-0.763709677419355","-0.070807274818489","-0.728177023624919","-0.679494312900945","-0.45338257147512","-0.607007660974303","-0.607007660974304","0.636363636363636","-0.200043344202221","-0.608699738589629","-0.608699738589631","0.548387096774194","-0.554448367740399","I"
"2349","-0.37355073286018","-0.0739702393789089","-0.404255319148936","-0.373550732860179","-0.258624602362535","-0.426517554804854","-0.754815499462387","-0.314970892081223","-0.512096774193548","-0.0801523973833658","-0.382970211935865","-0.400933822134938","-0.183544553771113","-0.356054931471123","-0.356054931471125","0.272727272727273","-0.129976784582599","-0.357702602224336","-0.357702602224334","0.161290322580645","-0.385384398760914","C"
"2350","-0.60339090068619","-0.368125943497951","0.48936170212766","-0.603390900686189","-0.381345776383421","-0.60306575660522","-0.835079572897742","-0.442329515898554","-0.664516129032258","-0.368125943497951","-0.669236999792206","-0.608277444543535","-0.403133994559449","-0.595201905379813","-0.595201905379814","0.575757575757576","-0.170211368658858","-0.612304156978889","-0.612304156978888","0.419354838709677","-0.707947923661807","M"
"2352","-0.344289455326888","-0.00179713895478417","-0.0638297872340425","-0.344289455326887","-0.151007082824052","-0.4911745495512","-0.676522506686628","-0.209710836840144","-0.334677419354839","-0.0117173459851917","-0.556516465916816","-0.586033732326264","-0.322626670550423","-0.33409364685693","-0.334093646856931","0.393939393939394","-0.29233365841485","-0.308219942653807","-0.308219942653805","0.290322580645161","-0.225158676862424","N"
"2353","-0.870926277491934","-0.570124362015671","-0.276595744680851","-0.870926277491934","-0.695061929920253","-0.775274015536068","-0.956023201196206","-0.722927009696341","-0.889314516129032","-0.571418302063116","-0.866050540618096","-0.788687868619156","-0.562531781805256","-0.876736344335497","-0.876736344335497","0.878787878787879","-0.286245768193893","-0.839097153463129","-0.839097153463129","0.548387096774194","-0.650271862747222","K"
"2354","-0.860860492190369","-0.679821723815685","0.617021276595745","-0.860860492190368","-0.647468855879063","-0.804341025298697","-0.957644144867419","-0.728491662777843","-0.879838709677419","-0.682265832794192","-0.640292834212808","-0.540358262946632","-0.370574615039028","-0.870129269276655","-0.870129269276655","0.393939393939394","-0.314606667783108","-0.826095265167576","-0.826095265167576","0.483870967741935","-0.661373827524208","I"
"2355","-0.641860572149935","-0.274099633383653","0.234042553191489","-0.641860572149935","-0.394258095082633","-0.646244109199757","-0.898164931546676","-0.566681112455207","-0.761290322580645","-0.286895262741715","-0.805162623633966","-0.774704046719318","-0.554000681303165","-0.636409553458076","-0.636409553458074","0.575757575757576","-0.248444370015006","-0.636472833322569","-0.636472833322569","0.354838709677419","-0.517860624309513","B"
"2356","-0.442079580765844","-0.246351807921789","0.48936170212766","-0.442079580765843","-0.289691883219003","-0.478327339523638","-0.798849281770333","-0.381706721828315","-0.445161290322581","-0.246351807921789","-0.633815877449531","-0.636981738902829","-0.403479583121455","-0.451987397223981","-0.451987397223982","0.515151515151515","-0.195157270497375","-0.401572100449275","-0.401572100449276","0.290322580645161","-0.568312284730196","F"
"2358","-0.748477851942456","-0.628207893034289","0.446808510638298","-0.748477851942456","-0.74851077552743","-0.284212632246867","-0.968114659134169","-0.767327014984286","-0.840322580645161","-0.628207893034289","-0.870689862332863","-0.852804679455129","-0.591479760852715","-0.747469901975491","-0.747469901975491","0.333333333333333","-0.274969708313221","-0.728528826389355","-0.728528826389355","0.354838709677419","-0.616261941381626","I"
"2359","-0.615982517487709","-0.333908417798864","0.74468085106383","-0.615982517487709","-0.507623093430371","-0.479606981756029","-0.893944016226863","-0.557325490560915","-0.714516129032258","-0.346272733807778","-0.575260343411582","-0.550743468495651","-0.400324853248286","-0.622081525410891","-0.622081525410894","0.272727272727273","-0.147550888391963","-0.580721028839482","-0.58072102883948","0.354838709677419","-0.558423412689817","K"
"2360","-0.444420890189641","-0.238156854287974","0.191489361702128","-0.44442089018964","-0.169107898602944","-0.582086436754218","-0.734773198219997","-0.286593010362427","-0.404838709677419","-0.238156854287974","-0.667012047818091","-0.632006996612975","-0.422141365469779","-0.456061362819893","-0.456061362819896","0.636363636363636","-0.233405245305199","-0.405315249256759","-0.405315249256759","0.419354838709677","-0.295832159954944","C"
"2363","-0.444470626312467","-0.07138235928402","0.659574468085106","-0.444470626312466","-0.180714334059268","-0.573695205834949","-0.657403434739293","-0.186012656280888","-0.43125","-0.0741140104952916","-0.64671890262089","-0.665146867746147","-0.389241334366808","-0.421330829039201","-0.421330829039202","0.575757575757576","-0.173675621184807","-0.468026359514459","-0.468026359514457","0.548387096774194","-0.63814093538115","G"
