SAS date,Demand,Wind,Subhour,Day
7/14/2009,2485,117,1,195
7/14/2009,2397,110,2,195
7/14/2009,2325,110,3,195
7/14/2009,2271,109,4,195
7/14/2009,2214,117,5,195
7/14/2009,2158,132,6,195
7/14/2009,2121,129,7,195
7/14/2009,2082,126,8,195
7/14/2009,2054,117,9,195
7/14/2009,2028,115,10,195
7/14/2009,2000,120,11,195
7/14/2009,1992,113,12,195
7/14/2009,1977,108,13,195
7/14/2009,1973,103,14,195
7/14/2009,1963,98,15,195
7/14/2009,1960,106,16,195
7/14/2009,1958,109,17,195
7/14/2009,1953,107,18,195
7/14/2009,1966,110,19,195
7/14/2009,1985,125,20,195
7/14/2009,1978,137,21,195
7/14/2009,1957,122,22,195
7/14/2009,1934,125,23,195
7/14/2009,1942,119,24,195
7/14/2009,1976,105,25,195
7/14/2009,2050,101,26,195
7/14/2009,2109,107,27,195
7/14/2009,2191,102,28,195
7/14/2009,2292,88,29,195
7/14/2009,2451,87,30,195
7/14/2009,2552,98,31,195
7/14/2009,2681,89,32,195
7/14/2009,2790,90,33,195
7/14/2009,2960,82,34,195
7/14/2009,3075,100,35,195
7/14/2009,3148,106,36,195
7/14/2009,3224,109,37,195
7/14/2009,3298,108,38,195
7/14/2009,3328,115,39,195
7/14/2009,3362,105,40,195
7/14/2009,3381,113,41,195
7/14/2009,3406,112,42,195
7/14/2009,3431,115,43,195
7/14/2009,3441,130,44,195
7/14/2009,3466,120,45,195
7/14/2009,3503,123,46,195
7/14/2009,3503,96,47,195
7/14/2009,3512,90,48,195
7/14/2009,3517,84,49,195
7/14/2009,3538,114,50,195
7/14/2009,3562,107,51,195
7/14/2009,3575,124,52,195
7/14/2009,3573,123,53,195
7/14/2009,3525,128,54,195
7/14/2009,3472,126,55,195
7/14/2009,3460,124,56,195
7/14/2009,3461,104,57,195
7/14/2009,3474,105,58,195
7/14/2009,3450,93,59,195
7/14/2009,3437,89,60,195
7/14/2009,3460,98,61,195
7/14/2009,3462,100,62,195
7/14/2009,3465,78,63,195
7/14/2009,3459,72,64,195
